      1 #<seq id> <alignment start> <alignment end> <envelope start> <envelope end> <hmm acc> <hmm name> <type> <hmm start> <hmm end> <hmm length> <bit score> <E-value> <clan>
      1 #Pfam-A regions from Pfam version 33.1 for ncbi taxid 9606 'Homo sapiens (Human)'
      1 #Total number of proteins in proteome: 74340
      1 PF00032
      1 PF00033
      1 PF00115
      1 PF00116
      1 PF00119
      1 PF00146
      1 PF00174
      1 PF00231
      1 PF00260
      1 PF00303
      1 PF00306
      1 PF00317
      1 PF00329
      1 PF00346
      1 PF00363
      1 PF00420
      1 PF00444
      1 PF00471
      1 PF00480
      1 PF00499
      1 PF00507
      1 PF00510
      1 PF00584
      1 PF00590
      1 PF00647
      1 PF00662
      1 PF00696
      1 PF00703
      1 PF00705
      1 PF00714
      1 PF00715
      1 PF00841
      1 PF00861
      1 PF00882
      1 PF00895
      1 PF00958
      1 PF00984
      1 PF00997
      1 PF01011
      1 PF01053
      1 PF01059
      1 PF01103
      1 PF01109
      1 PF01110
      1 PF01127
      1 PF01128
      1 PF01139
      1 PF01159
      1 PF01165
      1 PF01171
      1 PF01175
      1 PF01194
      1 PF01199
      1 PF01200
      1 PF01204
      1 PF01212
      1 PF01215
      1 PF01227
      1 PF01250
      1 PF01256
      1 PF01265
      1 PF01300
      1 PF01327
      1 PF01331
      1 PF01359
      1 PF01381
      1 PF01396
      1 PF01527
      1 PF01551
      1 PF01642
      1 PF01709
      1 PF01725
      1 PF01783
      1 PF01814
      1 PF01878
      1 PF01927
      1 PF01931
      1 PF01946
      1 PF01967
      1 PF01968
      1 PF01990
      1 PF02024
      1 PF02033
      1 PF02045
      1 PF02059
      1 PF02072
      1 PF02079
      1 PF02130
      1 PF02167
      1 PF02195
      1 PF02202
      1 PF02229
      1 PF02237
      1 PF02270
      1 PF02272
      1 PF02274
      1 PF02350
      1 PF02391
      1 PF02410
      1 PF02538
      1 PF02545
      1 PF02661
      1 PF02678
      1 PF02689
      1 PF02744
      1 PF02747
      1 PF02789
      1 PF02790
      1 PF02843
      1 PF02937
      1 PF02939
      1 PF02988
      1 PF03124
      1 PF03146
      1 PF03297
      1 PF03368
      1 PF03378
      1 PF03404
      1 PF03417
      1 PF03484
      1 PF03508
      1 PF03509
      1 PF03568
      1 PF03629
      1 PF03635
      1 PF03660
      1 PF03670
      1 PF03694
      1 PF03715
      1 PF03720
      1 PF03726
      1 PF03762
      1 PF03823
      1 PF03827
      1 PF03835
      1 PF03839
      1 PF03847
      1 PF03875
      1 PF03879
      1 PF03919
      1 PF03941
      1 PF03959
      1 PF03998
      1 PF04004
